scan_id;target_id;target_name;coletado_em;pagina_url;titulo;idioma_declarado;fluxo_essencial;viewport;situacao;http_status;indice_conformidade;indice_atrito;indice_exposicao_juridica;barreira_absoluta;violacoes;ocorrencias;incompletos;criterios_violados;peso_mb;requisicoes;terceiros_pct;custo_brl;franquia_pct;lcp_ms;duracao_auditoria_ms
0c0de4a9-1b10-4c3d-8220-1a2251da32c2;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-27T01:03:49.236051+00:00;https://prefeitura.rio/saude/;Arquivos Saúde - Prefeitura da Cidade do Rio de Janeiro - prefeitura.rio;pt;1;mobile-320;ok;200;60.96;100.0;80.79;1;12;42;5;1.1.1|1.3.1|1.4.3|1.4.4|2.4.3|2.4.4|3.3.2|4.1.2;2.066;86;71.11;0.006053;0.0202;;10004
0c0de4a9-1b10-4c3d-8220-1a2251da32c2;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-27T01:03:49.236051+00:00;https://prefeitura.rio/saude/;Arquivos Saúde - Prefeitura da Cidade do Rio de Janeiro - prefeitura.rio;pt;1;desktop-1366;ok;200;60.96;100.0;81.51;1;12;48;6;1.1.1|1.3.1|1.4.3|1.4.4|2.4.3|2.4.4|3.3.2|4.1.2;2.11;89;70.08;0.006182;0.0206;;7529
bbcd5ec1-e088-4739-8352-0b5922c46c5e;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-26T16:07:03.037904+00:00;https://prefeitura.rio/saude/;Arquivos Saúde - Prefeitura da Cidade do Rio de Janeiro - prefeitura.rio;pt;1;mobile-320;ok;200;60.96;100.0;80.79;1;12;42;5;1.1.1|1.3.1|1.4.3|1.4.4|2.4.3|2.4.4|3.3.2|4.1.2;2.075;85;70.79;0.006079;0.0203;;7973
bbcd5ec1-e088-4739-8352-0b5922c46c5e;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-26T16:07:03.037904+00:00;https://prefeitura.rio/saude/;Arquivos Saúde - Prefeitura da Cidade do Rio de Janeiro - prefeitura.rio;pt;1;desktop-1366;ok;200;60.96;100.0;81.51;1;12;48;6;1.1.1|1.3.1|1.4.3|1.4.4|2.4.3|2.4.4|3.3.2|4.1.2;2.109;89;70.13;0.006179;0.0206;;6192
e57d47bd-6ddc-4bf3-8605-a4bbb08c6fc2;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-26T04:08:36.711953+00:00;https://prefeitura.rio/saude/;Arquivos Saúde - Prefeitura da Cidade do Rio de Janeiro - prefeitura.rio;pt;1;mobile-320;ok;200;60.96;100.0;80.79;1;12;42;5;1.1.1|1.3.1|1.4.3|1.4.4|2.4.3|2.4.4|3.3.2|4.1.2;2.076;92;70.81;0.006082;0.0203;;9076
e57d47bd-6ddc-4bf3-8605-a4bbb08c6fc2;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-26T04:08:36.711953+00:00;https://prefeitura.rio/saude/;Arquivos Saúde - Prefeitura da Cidade do Rio de Janeiro - prefeitura.rio;pt;1;desktop-1366;ok;200;60.96;100.0;81.51;1;12;48;6;1.1.1|1.3.1|1.4.3|1.4.4|2.4.3|2.4.4|3.3.2|4.1.2;2.111;89;70.16;0.006185;0.0206;;6511
f5ea83cc-845b-454c-bb12-31b7aeff9b8a;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-25T21:59:23.228578+00:00;https://prefeitura.rio/saude/;Arquivos Saúde - Prefeitura da Cidade do Rio de Janeiro - prefeitura.rio;pt;1;mobile-320;ok;200;60.96;100.0;80.79;1;12;42;5;1.1.1|1.3.1|1.4.3|1.4.4|2.4.3|2.4.4|3.3.2|4.1.2;2.075;85;70.8;0.006079;0.0203;;8353
f5ea83cc-845b-454c-bb12-31b7aeff9b8a;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-25T21:59:23.228578+00:00;https://prefeitura.rio/saude/;Arquivos Saúde - Prefeitura da Cidade do Rio de Janeiro - prefeitura.rio;pt;1;desktop-1366;ok;200;60.96;100.0;81.51;1;12;48;6;1.1.1|1.3.1|1.4.3|1.4.4|2.4.3|2.4.4|3.3.2|4.1.2;2.109;89;70.13;0.006179;0.0206;;6394
0d6f9167-b727-4fb4-98d5-8e6c714e4c2e;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-25T15:27:50.344856+00:00;https://prefeitura.rio/saude/;Arquivos Saúde - Prefeitura da Cidade do Rio de Janeiro - prefeitura.rio;pt;1;mobile-320;ok;200;60.96;100.0;80.79;1;12;42;5;1.1.1|1.3.1|1.4.3|1.4.4|2.4.3|2.4.4|3.3.2|4.1.2;2.075;85;70.78;0.006079;0.0203;;7798
0d6f9167-b727-4fb4-98d5-8e6c714e4c2e;sms-rio;Secretaria Municipal de Saúde do Rio de Janeiro — seção informativa;2026-08-25T15:27:50.344856+00:00;https://prefeitura.rio/saude/;Arquivos Saúde - Prefeitura da Cidade do Rio de Janeiro - prefeitura.rio;pt;1;desktop-1366;ok;200;60.96;100.0;81.51;1;12;48;6;1.1.1|1.3.1|1.4.3|1.4.4|2.4.3|2.4.4|3.3.2|4.1.2;2.11;89;70.11;0.006182;0.0206;;6393
